bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
White-eyed Vireo,--RRRX-,https://upload.wikimedia.org/wikipedia/commons/1/1d/WhiteEyedVireoMaine.jpg,https://ebird.org/species/whevir/,https://en.wikipedia.org/wiki/White-eyed_vireo,https://www.allaboutbirds.org/guide/White-eyed_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/32197991-1280px.jpg,https://macaulaylibrary.org/asset/105380,,,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105380/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Bell's Vireo,--UUR--,https://upload.wikimedia.org/wikipedia/commons/c/c1/Least_Bell%27s_Vireo_USGS_WERC.jpg,https://ebird.org/species/belvir,https://en.wikipedia.org/wiki/Bell's_vireo,https://www.allaboutbirds.org/guide/Bells_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/31503291-1280px.jpg,https://macaulaylibrary.org/asset/112629,,,,,,4 - uncommon,4 - uncommon,5 - rare,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/112629/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Yellow-throated Vireo,--URRUX,https://upload.wikimedia.org/wikipedia/commons/f/fa/Vireo-flavifrons-001.jpg,https://ebird.org/species/yetvir,https://en.wikipedia.org/wiki/Yellow-throated_vireo,https://www.allaboutbirds.org/guide/Yellow-throated_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/31722991-1280px.jpg,https://macaulaylibrary.org/asset/79437,,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/79437/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Blue-headed Vireo,--U--UR,https://upload.wikimedia.org/wikipedia/commons/b/b5/Blue-headed_Vireo_%288088895251%29.jpg,https://ebird.org/species/buhvir,https://en.wikipedia.org/wiki/Blue-headed_vireo,https://www.allaboutbirds.org/guide/Blue-headed_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/31758801-1280px.jpg,https://macaulaylibrary.org/asset/105404,,,,,,4 - uncommon,,,4 - uncommon,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105404/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Philadelphia Vireo,--U--U-,https://upload.wikimedia.org/wikipedia/commons/3/32/Vireo_philadelphicus.jpg,https://ebird.org/species/phivir/,https://en.wikipedia.org/wiki/Philadelphia_vireo,https://www.allaboutbirds.org/guide/Philadelphia_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/32323351-1280px.jpg,https://macaulaylibrary.org/asset/67802,,,,,,4 - uncommon,,,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/67802/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Warbling Vireo,--FFUU-,https://upload.wikimedia.org/wikipedia/commons/c/cc/WarblingVireo08.jpg,https://ebird.org/species/warvir/,https://en.wikipedia.org/wiki/Warbling_vireo,https://www.allaboutbirds.org/guide/Warbling_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/32199241-1280px.jpg,https://macaulaylibrary.org/asset/42233,,,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/42233/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-eyed Vireo,--CFFCX,https://upload.wikimedia.org/wikipedia/commons/0/03/Vireo_olivaceus_-Madison_-Wisconsin_-USA-8.jpg,https://ebird.org/species/reevir1,https://en.wikipedia.org/wiki/Red-eyed_vireo,https://www.allaboutbirds.org/guide/Red-eyed_Vireo/id,https://www.allaboutbirds.org/guide/assets/photo/32258431-1280px.jpg,https://macaulaylibrary.org/asset/73894,,,,,,2 - common,3 - fairly common,3 - fairly common,2 - common,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/73894/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Loggerhead Shrike,---XX--,https://upload.wikimedia.org/wikipedia/commons/7/73/Lanius_ludovicianus_-Texas_-USA-8-4c.jpg,https://ebird.org/species/logshr,https://en.wikipedia.org/wiki/Loggerhead_shrike,https://www.allaboutbirds.org/guide/Loggerhead_Shrike/id,https://www.allaboutbirds.org/guide/assets/photo/31722591-1280px.jpg,https://macaulaylibrary.org/asset/55564,,,,,,,6 - extremely rare,6 - extremely rare,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/55564/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Blue Jay,UUCFFCF,https://upload.wikimedia.org/wikipedia/commons/0/04/Cyanocitta-cristata-004.jpg,https://ebird.org/species/blujay,https://en.wikipedia.org/wiki/Blue_jay,https://www.allaboutbirds.org/guide/Blue_Jay/id,https://www.allaboutbirds.org/guide/assets/photo/31964581-1280px.jpg,https://macaulaylibrary.org/asset/107392,,,,4 - uncommon,4 - uncommon,2 - common,3 - fairly common,3 - fairly common,2 - common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/107392/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Crow,UUUUUUU,https://upload.wikimedia.org/wikipedia/commons/0/0a/Corvus-brachyrhynchos-001.jpg,https://ebird.org/species/amecro,https://en.wikipedia.org/wiki/American_crow,https://www.allaboutbirds.org/guide/American_Crow/id,https://www.allaboutbirds.org/guide/assets/photo/31920151-1280px.jpg,https://macaulaylibrary.org/asset/135405,,,,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/135405/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black-capped Chickadee,CCCCCCC,https://upload.wikimedia.org/wikipedia/commons/4/4a/Poecile-atricapilla-001.jpg,https://ebird.org/species/bkcchi,https://en.wikipedia.org/wiki/Black-capped_chickadee,https://www.allaboutbirds.org/guide/Black-capped_Chickadee/id,https://www.allaboutbirds.org/guide/assets/photo/120480101-1280px.jpg,https://macaulaylibrary.org/asset/58123,,,,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/58123/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Tufted Titmouse,RRRXXXR,https://upload.wikimedia.org/wikipedia/commons/6/6e/Baeolophus_bicolor_15.jpeg,https://ebird.org/species/tuftit,https://en.wikipedia.org/wiki/Tufted_titmouse,https://www.allaboutbirds.org/guide/Tufted_Titmouse/id,https://www.allaboutbirds.org/guide/assets/photo/25036791-1280px.jpg,https://macaulaylibrary.org/asset/94271,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,6 - extremely rare,6 - extremely rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/94271/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Horned Lark,FFURRUF,https://upload.wikimedia.org/wikipedia/commons/5/54/Shore_Lark.jpg,https://ebird.org/species/horlar,https://en.wikipedia.org/wiki/Horned_lark,https://www.allaboutbirds.org/guide/Horned_Lark/id,https://www.allaboutbirds.org/guide/assets/photo/32312441-1280px.jpg,https://macaulaylibrary.org/asset/134110,,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,5 - rare,4 - uncommon,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/134110/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Purple Martin,-RURUU-,,https://ebird.org/species/purmar,https://en.wikipedia.org/wiki/Purple_martin,https://www.allaboutbirds.org/guide/Purple_Martin/overview,https://www.allaboutbirds.org/guide/assets/photo/31752691-1280px.jpg,https://macaulaylibrary.org/asset/56923,sounds like r2d2,https://upload.wikimedia.org/wikipedia/commons/b/b9/PurpleMartin_cajay.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Progne_subis_-Chicago%2C_USA_-female-8.jpg,,5 - rare,4 - uncommon,5 - rare,4 - uncommon,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/56923/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Tree Swallow,-CCCFFR,https://upload.wikimedia.org/wikipedia/commons/5/5e/Tree_swallow_at_Stroud_Preserve.jpg,https://ebird.org/species/treswa,https://en.wikipedia.org/wiki/Tree_swallow,https://www.allaboutbirds.org/guide/Tree_Swallow/id,https://www.allaboutbirds.org/guide/assets/photo/25038971-1280px.jpg,https://macaulaylibrary.org/asset/136400,,,,,2 - common,2 - common,2 - common,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/136400/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
N. Rough-winged Swallow,-RFUFR-,https://upload.wikimedia.org/wikipedia/commons/2/2a/Northern_rough-winged_swallow_7435.jpg,https://ebird.org/species/nrwswa/,https://en.wikipedia.org/wiki/Northern_rough-winged_swallow,https://www.allaboutbirds.org/guide/Northern_Rough-winged_Swallow/id,https://www.allaboutbirds.org/guide/assets/photo/32322841-1280px.jpg,https://macaulaylibrary.org/asset/138324,,,,,5 - rare,3 - fairly common,4 - uncommon,3 - fairly common,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/138324/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Bank Swallow,--UUFR-,https://upload.wikimedia.org/wikipedia/commons/0/04/Riparia_riparia_-Markinch%2C_Fife%2C_Scotland_-flying-8-4c.jpg,https://ebird.org/species/banswa,https://en.wikipedia.org/wiki/Sand_martin,https://www.allaboutbirds.org/guide/Bank_Swallow/id,https://www.allaboutbirds.org/guide/assets/photo/31913101-1280px.jpg,https://macaulaylibrary.org/asset/106597,,,,,,4 - uncommon,4 - uncommon,3 - fairly common,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/106597/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Cliff Swallow,--RRUR-,https://upload.wikimedia.org/wikipedia/commons/2/2e/Petrochelidon_pyrrhonota_1894.jpg,https://ebird.org/species/cliswa,https://en.wikipedia.org/wiki/Cliff_swallow,https://www.allaboutbirds.org/guide/Cliff_Swallow/id,https://www.allaboutbirds.org/guide/assets/photo/31614741-1280px.jpg,https://macaulaylibrary.org/asset/111063,,,,,,5 - rare,5 - rare,4 - uncommon,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/111063/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Barn Swallow,-UCCCCU,https://upload.wikimedia.org/wikipedia/commons/3/31/BarnSwallow_cajay.jpg,https://ebird.org/species/barswa,https://en.wikipedia.org/wiki/Barn_swallow,https://www.allaboutbirds.org/guide/Barn_Swallow/id,https://www.allaboutbirds.org/guide/assets/photo/31955381-1280px.jpg,https://macaulaylibrary.org/asset/26415,,,,,4 - uncommon,2 - common,2 - common,2 - common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/26415/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Golden-crowned Kinglet,RFFXXRF,https://upload.wikimedia.org/wikipedia/commons/8/84/Regulus_satrapa_-Canada-8a.jpg,https://ebird.org/species/gockin,https://en.wikipedia.org/wiki/Golden-crowned_kinglet,https://www.allaboutbirds.org/guide/Golden-crowned_Kinglet/id,https://www.allaboutbirds.org/guide/assets/photo/31754421-1280px.jpg,https://macaulaylibrary.org/asset/50331,,,,5 - rare,3 - fairly common,3 - fairly common,6 - extremely rare,6 - extremely rare,5 - rare,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/50331/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ruby-crowned Kinglet,XUF--UF,https://upload.wikimedia.org/wikipedia/commons/1/11/Ruby-crowned_Kinglet.jpg,https://ebird.org/species/ruckin,https://en.wikipedia.org/wiki/Ruby-crowned_kinglet,https://www.allaboutbirds.org/guide/Ruby-crowned_Kinglet/id,https://www.allaboutbirds.org/guide/assets/photo/31505831-1280px.jpg,https://macaulaylibrary.org/asset/120415,,,,6 - extremely rare,4 - uncommon,3 - fairly common,,,4 - uncommon,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/120415/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Red-breasted Nuthatch,UURXXRU,https://upload.wikimedia.org/wikipedia/commons/d/d2/Sitta_canadensis_CT2.jpg,https://ebird.org/species/rebnut,https://en.wikipedia.org/wiki/Red-breasted_nuthatch,https://www.allaboutbirds.org/guide/Red-breasted_Nuthatch/id,https://www.allaboutbirds.org/guide/assets/photo/32258961-1280px.jpg,https://macaulaylibrary.org/asset/106724,,,,4 - uncommon,4 - uncommon,5 - rare,6 - extremely rare,6 - extremely rare,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/106724/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
White-breasted Nuthatch,FFUUUUF,https://upload.wikimedia.org/wikipedia/commons/0/09/Sitta-carolinensis-001.jpg,https://ebird.org/species/whbnut,https://en.wikipedia.org/wiki/White-breasted_nuthatch,https://www.allaboutbirds.org/guide/White-breasted_Nuthatch/id,https://www.allaboutbirds.org/guide/assets/photo/31504131-1280px.jpg,https://macaulaylibrary.org/asset/77256,,,,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/77256/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Brown Creeper,UFU--RF,https://upload.wikimedia.org/wikipedia/commons/f/fc/Certhia-americana-001.jpg,https://ebird.org/species/brncre/,https://en.wikipedia.org/wiki/Brown_creeper,https://www.allaboutbirds.org/guide/Brown_Creeper/id,https://www.allaboutbirds.org/guide/assets/photo/31920891-1280px.jpg,https://macaulaylibrary.org/asset/50598,,,,4 - uncommon,3 - fairly common,4 - uncommon,,,5 - rare,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/50598/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Blue-gray Gnatcatcher,-RFFFU-,https://upload.wikimedia.org/wikipedia/commons/e/e8/Blue-gray_Gnatcatcher_-_Cuba_S4E0108_%2819293820712%29.jpg,https://ebird.org/species/buggna,https://en.wikipedia.org/wiki/Blue-gray_gnatcatcher,https://www.allaboutbirds.org/guide/Blue-gray_Gnatcatcher/id,https://www.allaboutbirds.org/guide/assets/photo/31502491-1280px.jpg,https://macaulaylibrary.org/asset/94268,,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/94268/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
House Wren,--CFFFR,https://upload.wikimedia.org/wikipedia/commons/c/c3/House_wren_in_full_song_cropped.png,https://ebird.org/species/houwre,https://en.wikipedia.org/wiki/House_wren,https://www.allaboutbirds.org/guide/House_Wren/id,https://www.allaboutbirds.org/guide/assets/photo/32312791-1280px.jpg,https://macaulaylibrary.org/asset/107408,,,,,,2 - common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/107408/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Winter Wren,RUR---U,https://upload.wikimedia.org/wikipedia/commons/7/73/Troglodytes_hiemalis_Central_Park_NY.jpg,https://ebird.org/species/winwre3,https://en.wikipedia.org/wiki/Winter_wren,https://www.allaboutbirds.org/guide/Winter_Wren/id,https://www.allaboutbirds.org/guide/assets/photo/31919251-1280px.jpg,https://macaulaylibrary.org/asset/100830,,,,5 - rare,4 - uncommon,5 - rare,,,,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/100830/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Sedge Wren,--UUURR,https://upload.wikimedia.org/wikipedia/commons/d/de/Sedge_Wren_%2831204304001%29.jpg,https://ebird.org/species/sedwre,https://en.wikipedia.org/wiki/Sedge_wren,https://www.allaboutbirds.org/guide/Sedge_Wren/id,https://www.allaboutbirds.org/guide/assets/photo/32252241-1280px.jpg,https://macaulaylibrary.org/asset/125253,,,,,,4 - uncommon,4 - uncommon,4 - uncommon,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/125253/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Marsh Wren,XXFFUUU,https://upload.wikimedia.org/wikipedia/commons/8/85/Cistothorus_palustris_-Reifel_Island%2C_Vancouver-8.jpg,https://ebird.org/species/marwre,https://en.wikipedia.org/wiki/Marsh_wren,https://www.allaboutbirds.org/guide/Marsh_Wren/id,https://www.allaboutbirds.org/guide/assets/photo/25036741-1280px.jpg,https://macaulaylibrary.org/asset/44882,,,,6 - extremely rare,6 - extremely rare,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/44882/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Carolina Wren,RRRRRRR,https://upload.wikimedia.org/wikipedia/commons/6/65/Carolina_Wren1.jpg,https://ebird.org/species/carwre,https://en.wikipedia.org/wiki/Carolina_wren,https://www.allaboutbirds.org/guide/Carolina_Wren/id,https://www.allaboutbirds.org/guide/assets/photo/25039021-1280px.jpg,https://macaulaylibrary.org/asset/84703,,,,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/84703/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
European Starling,AAAAAAA,https://upload.wikimedia.org/wikipedia/commons/7/7d/Toulouse_-_Sturnus_vulgaris_-_2012-02-26_-_3.jpg,https://ebird.org/species/eursta,https://en.wikipedia.org/wiki/Common_starling,https://www.allaboutbirds.org/guide/European_Starling/id,https://www.allaboutbirds.org/guide/assets/photo/31503851-1280px.jpg,https://macaulaylibrary.org/asset/177718701,,,,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant,1 - abundant,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/177718701/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Gray Catbird,X-CCCCU,https://upload.wikimedia.org/wikipedia/commons/c/c4/Gray-Catbird.png,https://ebird.org/species/grycat,https://en.wikipedia.org/wiki/Gray_catbird,https://www.allaboutbirds.org/guide/Gray_Catbird/id,https://www.allaboutbirds.org/guide/assets/photo/32308651-1280px.jpg,https://macaulaylibrary.org/asset/10222,,,,6 - extremely rare,,2 - common,2 - common,2 - common,2 - common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/10222/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Brown Thrasher,XUFFUUR,https://upload.wikimedia.org/wikipedia/commons/b/bb/Toxostoma_rufum_-Garland%2C_Texas%2C_USA-8.jpg,https://ebird.org/species/brnthr,https://en.wikipedia.org/wiki/Brown_thrasher,https://www.allaboutbirds.org/guide/Brown_Thrasher/overview,https://www.allaboutbirds.org/guide/assets/photo/25014181-1280px.jpg,https://macaulaylibrary.org/asset/105379,,,,6 - extremely rare,4 - uncommon,3 - fairly common,3 - fairly common,4 - uncommon,4 - uncommon,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/105379/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Northern Mockingbird,--RRRX-,https://upload.wikimedia.org/wikipedia/commons/0/09/Mimus_polyglottos_adult_02_cropped.jpg,https://ebird.org/species/normoc,https://en.wikipedia.org/wiki/Northern_mockingbird,https://www.allaboutbirds.org/guide/Northern_Mockingbird/id,https://www.allaboutbirds.org/guide/assets/photo/25038961-1280px.jpg,https://macaulaylibrary.org/asset/85197,,,,,,5 - rare,5 - rare,5 - rare,6 - extremely rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/85197/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Bluebird,RFFFFFR,https://upload.wikimedia.org/wikipedia/commons/0/00/Sialia_sialis_-Michigan%2C_USA_-pair-8c.jpg,https://ebird.org/species/easblu/,https://en.wikipedia.org/wiki/Eastern_bluebird,https://www.allaboutbirds.org/guide/Eastern_Bluebird/id,https://www.allaboutbirds.org/guide/assets/photo/25035631-1280px.jpg,https://macaulaylibrary.org/asset/44373,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/44373/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Veery,--FRRU-,https://upload.wikimedia.org/wikipedia/commons/3/3f/Catharus_fuscescens_CT.jpg,https://ebird.org/species/veery,https://en.wikipedia.org/wiki/Veery,https://www.allaboutbirds.org/guide/veery/id,https://www.allaboutbirds.org/guide/assets/photo/31614641-1280px.jpg,https://macaulaylibrary.org/asset/42240,,,,,,3 - fairly common,5 - rare,5 - rare,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/42240/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Gray-cheeked Thrush,--U--UR,https://upload.wikimedia.org/wikipedia/commons/5/5a/Graycheekedthrush36.jpg,https://ebird.org/species/gycthr,https://en.wikipedia.org/wiki/Grey-cheeked_thrush,https://www.allaboutbirds.org/guide/gray-cheeked_thrush/id#,https://www.allaboutbirds.org/guide/assets/photo/32306801-1280px.jpg,https://macaulaylibrary.org/asset/137830,digital call,,,,,4 - uncommon,,,4 - uncommon,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/137830/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Swainson's Thrush,--F--FR,https://upload.wikimedia.org/wikipedia/commons/3/35/Catharus_ustulatus_-North_Dakota-8a.jpg,https://ebird.org/species/swathr,https://en.wikipedia.org/wiki/Swainson's_thrush,https://www.allaboutbirds.org/guide/swainsons_thrush/id,https://www.allaboutbirds.org/guide/assets/photo/32212351-1280px.jpg,https://macaulaylibrary.org/asset/133353,,,,,,3 - fairly common,,,3 - fairly common,5 - rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/133353/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Hermit Thrush,RRF--FF,https://upload.wikimedia.org/wikipedia/commons/d/d3/Hermit_thrush_qmnonic.jpg,https://ebird.org/species/herthr,https://en.wikipedia.org/wiki/Hermit_thrush,https://www.allaboutbirds.org/guide/Hermit_Thrush/id,https://www.allaboutbirds.org/guide/assets/photo/31746161-1280px.jpg,https://macaulaylibrary.org/asset/132190,,,,5 - rare,5 - rare,3 - fairly common,,,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/132190/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Wood Thrush,--FFUR-,https://upload.wikimedia.org/wikipedia/commons/3/30/Hylocichla_mustelina_%28cropped%29.jpg,https://ebird.org/species/woothr,https://en.wikipedia.org/wiki/Wood_thrush,https://www.allaboutbirds.org/guide/Wood_Thrush/id#,https://www.allaboutbirds.org/guide/assets/photo/31722861-1280px.jpg,https://macaulaylibrary.org/asset/125223,my favorite so far,,,,,3 - fairly common,3 - fairly common,4 - uncommon,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/125223/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Robin,UCAAAAF,https://upload.wikimedia.org/wikipedia/commons/b/b8/Turdus-migratorius-002.jpg,https://ebird.org/species/amerob,https://en.wikipedia.org/wiki/American_robin,https://www.allaboutbirds.org/guide/American_Robin/id#,https://www.allaboutbirds.org/guide/assets/photo/90628731-1280px.jpg,https://macaulaylibrary.org/asset/94255,,,,4 - uncommon,2 - common,1 - abundant,1 - abundant,1 - abundant,1 - abundant,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/94255/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Cedar Waxwing,UUFFFFF,https://upload.wikimedia.org/wikipedia/commons/7/73/Cedar_Waxwing_-_Bombycilla_cedrorum%2C_George_Washington%27s_Birthplace_National_Monument%2C_Colonial_Beach%2C_Virginia_%2839997434862%29.jpg,https://ebird.org/species/cedwax,https://en.wikipedia.org/wiki/Cedar_waxwing,https://www.allaboutbirds.org/guide/Cedar_Waxwing/id,https://www.allaboutbirds.org/guide/assets/photo/32007851-1280px.jpg,https://macaulaylibrary.org/asset/166156861,,,,4 - uncommon,4 - uncommon,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/166156861/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
House Sparrow,CCCCCCC,,https://ebird.org/species/houspa/L1352153,https://en.wikipedia.org/wiki/House_sparrow,https://www.allaboutbirds.org/guide/House_Sparrow/id,https://www.allaboutbirds.org/guide/assets/photo/24997691-1280px.jpg,https://macaulaylibrary.org/asset/50543,,https://upload.wikimedia.org/wikipedia/commons/6/6e/Passer_domesticus_male_%2815%29.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/Passer_domesticus_male_%2815%29.jpg,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/50543/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Pipit,XXR--RU,https://upload.wikimedia.org/wikipedia/commons/0/07/Anthus_rubescens_-Harney_County%2C_Oregon%2C_USA-8.jpg,https://ebird.org/species/amepip,https://en.wikipedia.org/wiki/Buff-bellied_pipit,https://www.allaboutbirds.org/guide/American_Pipit/id,https://www.allaboutbirds.org/guide/assets/photo/31949931-1280px.jpg,https://macaulaylibrary.org/asset/62303,,,,6 - extremely rare,6 - extremely rare,5 - rare,,,5 - rare,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/62303/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
