bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female,winter,early spring,late spring,summer,post breeding,early fall,late fall,recording_embed_link
Mourning Dove,FFCCCCC,https://upload.wikimedia.org/wikipedia/commons/b/b7/Mourning_Dove_2006.jpg,https://ebird.org/species/moudov,https://en.wikipedia.org/wiki/Mourning_dove,https://www.allaboutbirds.org/guide/Mourning_Dove/overview,https://www.allaboutbirds.org/guide/assets/photo/32321521-1280px.jpg,https://macaulaylibrary.org/asset/104609081,,,,3 - fairly common,3 - fairly common,2 - common,2 - common,2 - common,2 - common,2 - common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/104609081/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Yellow-billed Cuckoo,--UURU-,https://upload.wikimedia.org/wikipedia/commons/3/34/Coccyzus-americanus-001.jpg,https://ebird.org/species/yebcuc,https://en.wikipedia.org/wiki/Yellow-billed_cuckoo,https://www.allaboutbirds.org/guide/Yellow-billed_Cuckoo/overview,https://www.allaboutbirds.org/guide/assets/photo/25035771-1280px.jpg,https://macaulaylibrary.org/asset/65099051,,,,,,4 - uncommon,4 - uncommon,5 - rare,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/65099051/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Black-billed Cuckoo,--URRU-,https://upload.wikimedia.org/wikipedia/commons/6/67/Black-billed-cuckoo2.jpg,https://ebird.org/species/bkbcuc,https://en.wikipedia.org/wiki/Black-billed_cuckoo,https://www.allaboutbirds.org/guide/Black-billed_Cuckoo/overview,https://www.allaboutbirds.org/guide/assets/photo/92638861-1280px.jpg,https://macaulaylibrary.org/asset/229553,,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/229553/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Common Nighthawk,--URRU-,https://upload.wikimedia.org/wikipedia/commons/e/eb/Common_Nighthawk_%2814428313550%29.jpg,https://ebird.org/species/comnig,https://en.wikipedia.org/wiki/Common_nighthawk,https://www.allaboutbirds.org/guide/Common_Nighthawk/overview,https://www.allaboutbirds.org/guide/assets/photo/32260981-1280px.jpg,https://macaulaylibrary.org/asset/166718241,,,,,,4 - uncommon,5 - rare,5 - rare,4 - uncommon,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/166718241/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Eastern Whip-poor-will,--RXX--,https://upload.wikimedia.org/wikipedia/commons/2/20/Caprimulgus_vociferusAAP065B.jpg,https://ebird.org/species/whip-p1,https://en.wikipedia.org/wiki/Eastern_whip-poor-will,https://www.allaboutbirds.org/guide/Eastern_Whip-poor-will/overview,https://www.allaboutbirds.org/guide/assets/photo/32268201-1280px.jpg,https://macaulaylibrary.org/asset/195774,,,,,,5 - rare,6 - extremely rare,6 - extremely rare,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/195774/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Chimney Swift,-RFFFFF,https://www.allaboutbirds.org/guide/assets/photo/66113891-1280px.jpg,https://ebird.org/species/chiswi/,https://en.wikipedia.org/wiki/Chimney_swift,https://www.allaboutbirds.org/guide/Chimney_Swift/overview,https://www.allaboutbirds.org/guide/assets/photo/25036591-1280px.jpg,https://macaulaylibrary.org/asset/527296,,,,,5 - rare,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/527296/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Ruby-throated Hummingbird,--UUUFX,https://upload.wikimedia.org/wikipedia/commons/f/f3/Archilochus_colubris_%28Male%29.jpg,https://ebird.org/species/rthhum,https://en.wikipedia.org/wiki/Ruby-throated_hummingbird,https://www.allaboutbirds.org/guide/Ruby-throated_Hummingbird/overview,https://www.allaboutbirds.org/guide/assets/photo/32254601-1280px.jpg,https://macaulaylibrary.org/asset/178584751,,,,,,4 - uncommon,4 - uncommon,4 - uncommon,3 - fairly common,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/178584751/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
King Rail,--RRR--,https://upload.wikimedia.org/wikipedia/commons/5/5f/KingRail23.jpg,https://ebird.org/species/kinrai4,https://en.wikipedia.org/wiki/King_rail,https://www.allaboutbirds.org/guide/King_Rail/overview,https://www.allaboutbirds.org/guide/assets/photo/25038011-1280px.jpg,https://macaulaylibrary.org/asset/93633641,,,,,,5 - rare,5 - rare,5 - rare,,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/93633641/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Virginia Rail,-RFRRRX,https://upload.wikimedia.org/wikipedia/commons/a/a1/Rallus_limicola_-Cloisters_Park%2C_Morro_Bay%2C_California%2C_USA-8_%281%29.jpg,https://ebird.org/species/virrai/L566915,https://en.wikipedia.org/wiki/Virginia_rail,https://www.allaboutbirds.org/guide/Virginia_Rail/overview,https://www.allaboutbirds.org/guide/assets/photo/32209551-1280px.jpg,https://macaulaylibrary.org/asset/60635981,,,,,5 - rare,3 - fairly common,5 - rare,5 - rare,5 - rare,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/60635981/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Sora,-FFUFFU,https://upload.wikimedia.org/wikipedia/commons/2/2d/Sora_%28Porzana_carolina%29.jpg,https://ebird.org/species/sora/,https://en.wikipedia.org/wiki/Sora_(bird),https://www.allaboutbirds.org/guide/Sora/overview,https://www.allaboutbirds.org/guide/assets/photo/32213791-1280px.jpg,https://macaulaylibrary.org/asset/159036671,['great call'],,,,3 - fairly common,3 - fairly common,4 - uncommon,3 - fairly common,3 - fairly common,4 - uncommon,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/159036671/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Common Gallinule,--RRRR-,https://upload.wikimedia.org/wikipedia/commons/2/20/Common-gallinule-galapagos-casey-klebba.jpg,https://ebird.org/species/comgal1/,https://en.wikipedia.org/wiki/Common_gallinule,https://www.allaboutbirds.org/guide/Common_Gallinule/overview,https://www.allaboutbirds.org/guide/assets/photo/31921231-1280px.jpg,https://macaulaylibrary.org/asset/65941821,,,,,,5 - rare,5 - rare,5 - rare,5 - rare,,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/65941821/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
American Coot,XCCUUCF,https://upload.wikimedia.org/wikipedia/commons/f/f5/American-coot-casey-klebba.jpg,https://ebird.org/species/y00475,https://en.wikipedia.org/wiki/American_coot,https://www.allaboutbirds.org/guide/American_Coot/overview,https://www.allaboutbirds.org/guide/assets/photo/31949701-1280px.jpg,https://macaulaylibrary.org/asset/41572901,,,,6 - extremely rare,2 - common,2 - common,4 - uncommon,4 - uncommon,2 - common,3 - fairly common,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/41572901/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
Yellow Rail,-XR---X,https://upload.wikimedia.org/wikipedia/commons/6/62/Yellow_Rail.jpg,https://ebird.org/species/yelrai,https://en.wikipedia.org/wiki/Yellow_rail,https://www.allaboutbirds.org/guide/Yellow_Rail/overview,https://www.allaboutbirds.org/guide/assets/photo/25036771-1280px.jpg,https://macaulaylibrary.org/asset/128195241,,,,,6 - extremely rare,5 - rare,,,,6 - extremely rare,"<iframe width=""640"" height=""360"" src=""https://macaulaylibrary.org/asset/128195241/embed/640"" frameborder=""0"" allowfullscreen style=""width:640px;""></iframe>"
