bird,abundance,img,ebird,wikipedia,allaboutbirds,migration,recording,tags,male,female
Blackburnian Warbler,--F--F-,https://upload.wikimedia.org/wikipedia/commons/f/fe/Dendroica-fusca-001.jpg,https://ebird.org/species/bkbwar,https://en.wikipedia.org/wiki/Blackburnian_warbler,https://www.allaboutbirds.org/guide/Blackburnian_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/38835131-1280px.jpg,https://macaulaylibrary.org/audio/73981,,,
Yellow Warbler,--CFFU-,https://upload.wikimedia.org/wikipedia/commons/a/a3/Dendroica-aestiva-001.jpg,https://ebird.org/species/yelwar,https://en.wikipedia.org/wiki/American_yellow_warbler,https://www.allaboutbirds.org/guide/Yellow_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32008021-1280px.jpg,https://macaulaylibrary.org/audio/57524601,,,
Chestnut-sided Warbler,--FR-F-,https://upload.wikimedia.org/wikipedia/commons/9/95/Dendroica-pensylvanica-003.jpg,https://ebird.org/species/chswar,https://en.wikipedia.org/wiki/Chestnut-sided_warbler,https://www.allaboutbirds.org/guide/Chestnut-sided_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31721491-1280px.jpg,https://macaulaylibrary.org/audio/68907,,,
Blackpoll Warbler,--F--FR,https://upload.wikimedia.org/wikipedia/commons/4/46/Dendroica_striata_MN.jpg,https://ebird.org/species/bkpwar,https://en.wikipedia.org/wiki/Blackpoll_warbler,https://www.allaboutbirds.org/guide/Blackpoll_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31913391-1280px.jpg,https://macaulaylibrary.org/audio/132227,,,
Black-throated Blue Warbler,--U--UX,,https://ebird.org/species/btbwar,https://en.wikipedia.org/wiki/Black-throated_blue_warbler,https://www.allaboutbirds.org/guide/Black-throated_Blue_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/70634531-1280px.jpg,https://macaulaylibrary.org/audio/107391,,https://upload.wikimedia.org/wikipedia/commons/3/3c/Black-throated_Blue_Warbler%2C_Parc_%C3%89coforestier_de_Johnville%2C_Quebec%2C_Canada.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/BlackThroatedBlueFemale.jpg
Palm Warbler,--C--FU,https://upload.wikimedia.org/wikipedia/commons/5/5c/Palm_Warbler%2C_Indiatlatlantic.jpg,https://ebird.org/species/palwar,https://en.wikipedia.org/wiki/Palm_warbler,https://www.allaboutbirds.org/guide/Palm_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31722741-1280px.jpg,https://macaulaylibrary.org/audio/93798,,,
Pine Warbler,-RURXUR,https://upload.wikimedia.org/wikipedia/commons/8/8e/Dendroica_pinus.jpg,https://ebird.org/species/pinwar/,https://en.wikipedia.org/wiki/Pine_warbler,https://www.allaboutbirds.org/guide/Pine_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31913681-1280px.jpg,https://macaulaylibrary.org/audio/105447,,,
Yellow-rumped Warbler,RUA--UC,https://upload.wikimedia.org/wikipedia/commons/6/62/Audubon%27s_Warbler_Setophaga_auduboni.jpg,https://ebird.org/species/yerwar,https://en.wikipedia.org/wiki/Yellow-rumped_warbler,https://www.allaboutbirds.org/guide/Yellow-rumped_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/34404731-1280px.jpg,https://macaulaylibrary.org/asset/85231,,,
Yellow-throated Warbler,--RR-X-,https://upload.wikimedia.org/wikipedia/commons/8/8a/Yellow-throated_Warbler_2.jpg,https://ebird.org/species/yetwar,https://en.wikipedia.org/wiki/Yellow-throated_warbler,https://www.allaboutbirds.org/guide/Yellow-throated_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/31722361-1280px.jpg,https://macaulaylibrary.org/audio/105427,,,
Prairie Warbler,--R--X-,https://upload.wikimedia.org/wikipedia/commons/e/e5/Prairie_warbler_%28Setophaga_discolor_paludicola%29_male_J.jpg,https://ebird.org/species/prawar/,https://en.wikipedia.org/wiki/Prairie_warbler,https://www.allaboutbirds.org/guide/Prairie_Warbler/id,https://www.allaboutbirds.org/guide/assets/photo/32323781-1280px.jpg,https://macaulaylibrary.org/audio/73953,,,
